Ind_ID,CHILDREN,Annual_income,EDUCATION,Housing_type,Age,Employment_Year,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,GENDER_M,Marital_status_Married,Marital_status_Separated,Marital_status_Single / not married,Marital_status_Widow,Car_Owner_Y,Propert_Owner_Y,Type_Income_Pensioner,Type_Income_State servant,Type_Income_Working
5052877,0,225000,1,5,49,9.0,1,0,0,0,10.0,2,1,1,1,0,0,0,1,1,0,0,1
5052879,0,225000,1,5,49,9.0,1,0,0,0,10.0,2,1,1,1,0,0,0,1,1,0,0,1
5052882,0,225000,1,5,49,9.0,1,0,0,0,10.0,2,1,1,1,0,0,0,1,1,0,0,1
5053254,0,180000,1,5,51,6.0,1,1,0,0,8.0,2,1,0,1,0,0,0,1,1,0,0,0
5054063,1,157500,1,5,45,4.0,1,0,0,0,10.0,3,1,1,1,0,0,0,0,0,0,0,1
5054068,1,157500,1,5,45,4.0,1,0,0,0,10.0,1,1,1,1,0,0,0,0,0,0,0,1
5054524,2,180000,1,5,46,23.0,1,0,0,0,1.0,4,1,0,1,0,0,0,0,0,0,0,1
5054525,2,180000,1,5,46,23.0,1,0,0,0,1.0,4,1,0,0,0,1,0,0,0,0,0,1
5058345,0,99000,3,5,67,38.0,1,0,0,0,0.0,1,1,0,0,1,0,0,0,1,1,0,0
5058348,0,99000,3,5,67,38.0,1,0,0,0,0.0,1,1,0,0,1,0,0,0,1,1,0,0
5058350,0,99000,3,5,67,38.0,1,0,0,0,0.0,1,1,1,0,1,0,0,0,1,1,0,0
5058352,0,99000,3,5,67,38.0,1,0,0,0,0.0,1,1,0,0,1,0,0,0,1,1,0,0
5058530,0,391500,1,2,25,1.0,1,0,0,0,5.0,1,1,1,0,0,1,0,0,0,0,0,1
5058531,0,391500,1,2,25,1.0,1,0,0,0,5.0,1,1,1,0,0,1,0,0,0,0,0,1
5058532,0,391500,1,2,32,1.0,1,0,0,0,5.0,1,1,1,0,0,1,0,0,0,0,0,1
5061360,0,65250,3,5,57,38.0,1,0,0,0,0.0,2,1,1,1,0,0,0,0,1,1,0,0
5061396,0,72900,0,5,64,38.0,1,0,0,0,0.0,2,1,1,1,0,0,0,0,1,1,0,0
5061636,0,225000,1,2,59,38.0,1,0,1,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5061691,1,67500,3,5,25,4.0,1,0,0,1,13.0,3,1,0,1,0,0,0,0,1,0,0,0
5062136,1,180000,1,5,35,0.0,1,0,0,0,4.0,2,1,1,0,0,1,0,0,0,0,0,1
5062137,1,169500,1,5,35,0.0,1,0,0,0,4.0,2,1,1,0,0,1,0,0,1,0,0,1
5065348,0,202500,3,5,42,11.0,1,0,0,0,7.0,2,1,0,1,0,0,0,1,1,0,0,1
5065462,0,157500,1,5,52,4.0,1,0,0,0,1.0,2,1,0,1,0,0,0,0,0,0,0,0
5065518,1,202500,3,1,26,8.0,1,0,0,0,4.0,3,1,0,1,0,0,0,1,0,0,0,1
5068389,1,270000,3,5,38,0.0,1,0,1,0,5.0,2,1,0,0,1,0,0,1,1,0,0,1
5068456,0,135000,1,5,37,7.0,1,0,0,0,1.0,2,1,0,1,0,0,0,1,0,0,0,0
5068651,0,360000,3,5,53,5.0,1,0,0,0,2.0,1,1,0,0,1,0,0,1,1,0,1,0
5069216,0,256500,3,5,31,5.0,1,1,0,0,6.0,2,1,0,1,0,0,0,1,1,0,0,0
5069218,0,256500,3,5,31,5.0,1,1,0,0,6.0,2,1,0,0,0,1,0,1,1,0,0,0
5069307,0,157500,1,5,43,4.0,1,0,0,0,2.0,2,1,1,1,0,0,0,0,1,0,0,1
5078820,2,225000,1,5,40,14.0,1,0,0,0,7.0,4,1,0,1,0,0,0,0,0,0,0,0
5078945,2,180000,2,5,34,10.0,1,1,0,0,1.0,3,1,0,0,1,0,0,0,1,0,0,1
5078946,2,180000,2,5,34,10.0,1,1,0,0,1.0,3,1,0,0,1,0,0,0,1,0,0,1
5079166,0,202500,1,0,38,4.0,1,0,0,0,4.0,2,1,1,1,0,0,0,1,0,0,0,1
5079167,0,202500,1,0,38,4.0,1,0,0,0,4.0,2,1,1,1,0,0,0,1,0,0,0,1
5079168,0,202500,1,0,38,4.0,1,0,0,0,4.0,2,1,1,1,0,0,0,1,0,0,0,1
5085886,0,315000,3,5,51,3.0,1,0,0,0,8.0,2,1,1,1,0,0,0,1,1,0,0,0
5089162,0,225000,3,5,56,7.0,1,1,1,0,6.0,2,1,0,1,0,0,0,1,0,0,0,1
5089959,1,126000,1,5,35,6.0,1,0,0,0,1.0,3,1,1,0,0,0,0,0,1,0,0,0
5090166,1,675000,1,5,42,2.0,1,0,0,0,14.0,2,1,0,0,0,1,0,0,1,0,0,0
5090214,0,135000,1,5,29,1.0,1,0,0,0,4.0,2,1,1,1,0,0,0,1,1,0,0,1
5090216,0,135000,1,5,29,1.0,1,0,0,0,4.0,2,1,1,1,0,0,0,1,1,0,0,1
5092087,2,247500,1,5,47,1.0,1,0,0,0,4.0,4,1,1,1,0,0,0,1,1,0,0,1
5092245,0,103500,1,5,61,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,0,1,0,0
5092479,1,85500,1,2,41,19.0,1,0,0,0,2.0,3,1,1,1,0,0,0,0,0,0,1,0
5096527,0,135000,1,3,55,2.0,1,0,0,0,2.0,1,1,0,0,0,0,1,0,0,0,0,1
5096528,0,135000,1,3,55,2.0,1,0,0,0,2.0,1,1,0,0,0,0,1,0,0,0,0,1
5096743,0,180000,0,5,46,6.0,1,1,1,0,9.0,1,1,0,0,0,0,1,0,1,0,0,1
5097065,0,121500,1,5,52,22.0,1,0,0,0,8.0,2,1,0,1,0,0,0,0,1,0,0,1
5100430,0,180000,1,5,45,2.0,1,0,0,0,4.0,1,1,1,0,0,1,0,1,0,0,0,1
5105045,0,225000,1,5,63,38.0,1,0,0,0,0.0,1,1,1,0,0,0,1,0,1,1,0,0
5105056,0,199500,3,2,32,2.0,1,0,1,1,7.0,1,1,1,0,0,1,0,1,0,0,0,0
5106077,0,135000,1,5,54,19.0,1,0,0,0,15.0,2,1,0,1,0,0,0,0,1,0,0,0
5113621,0,225000,1,2,53,1.0,1,0,0,0,14.0,1,1,1,0,0,0,1,0,0,0,0,1
5113933,0,67500,1,5,64,38.0,1,0,1,0,0.0,1,1,0,0,0,0,1,0,0,1,0,0
5113944,0,135000,1,5,64,38.0,1,0,1,0,0.0,2,1,0,1,0,0,0,1,0,1,0,0
5114249,1,130500,2,1,31,5.0,1,1,1,0,1.0,3,1,1,1,0,0,0,0,0,0,0,1
5114253,1,130500,2,1,31,5.0,1,1,1,0,1.0,3,1,1,1,0,0,0,0,0,0,0,1
5115604,0,202500,1,5,40,9.0,1,0,0,0,2.0,2,1,0,1,0,0,0,0,1,0,0,1
5115606,0,202500,1,5,40,9.0,1,0,0,0,2.0,2,1,0,1,0,0,0,0,1,0,0,1
5115608,0,202500,1,5,40,9.0,1,0,0,0,2.0,2,1,0,1,0,0,0,0,1,0,0,1
5115610,0,202500,1,5,40,9.0,1,0,0,0,2.0,2,1,0,1,0,0,0,0,1,0,0,1
5115611,0,202500,1,5,40,9.0,1,0,0,0,2.0,2,1,0,0,0,1,0,0,1,0,0,1
5116035,0,126000,3,5,40,2.0,1,1,0,0,8.0,1,1,1,0,0,1,0,1,1,0,0,1
5116036,0,126000,3,5,40,2.0,1,1,0,0,8.0,1,1,1,0,0,1,0,1,1,0,0,1
5116258,4,180000,1,5,48,20.0,1,0,0,0,2.0,6,1,0,1,0,0,0,0,1,0,0,0
5116301,0,180000,1,5,62,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5116302,0,180000,1,5,62,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5116304,0,180000,1,5,62,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5116305,0,180000,1,5,62,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5116906,0,211500,1,5,41,21.0,1,0,0,0,2.0,2,1,1,1,0,0,0,1,1,1,0,0
5117313,1,157500,1,5,36,11.0,1,1,1,0,4.0,3,1,0,1,0,0,0,0,1,0,0,0
5117413,0,81000,1,5,61,38.0,1,0,1,0,0.0,1,1,0,0,1,0,0,0,0,1,0,0
5118046,0,81000,1,5,65,38.0,1,0,1,0,0.0,1,1,0,0,0,0,1,0,0,1,0,0
5118275,0,112500,1,2,59,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,0,1,0,0
5118278,0,112500,1,2,59,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,0,1,0,0
5118279,0,112500,1,2,59,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,0,1,0,0
5118280,0,112500,1,2,59,38.0,1,0,0,0,0.0,2,1,0,0,0,1,0,0,0,1,0,0
5118283,0,112500,1,2,59,38.0,1,0,0,0,0.0,2,1,1,1,0,0,0,0,0,1,0,0
5118541,0,72000,1,5,50,3.0,1,0,1,0,4.0,2,1,0,1,0,0,0,0,1,0,0,1
5125289,1,202500,1,5,38,0.0,1,0,0,0,4.0,2,1,0,0,1,0,0,0,0,0,0,1
5125299,0,148500,1,5,57,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5125708,0,135000,0,5,45,2.0,1,0,1,0,7.0,2,1,0,1,0,0,0,1,1,0,0,1
5125716,0,135000,0,5,45,2.0,1,0,1,0,7.0,2,1,0,1,0,0,0,1,1,0,0,1
5125761,0,270000,1,2,49,4.0,1,0,0,0,3.0,1,1,1,0,0,1,0,0,1,0,0,0
5125763,1,135000,1,5,36,4.0,1,0,1,0,4.0,3,1,1,0,0,1,0,1,0,0,0,0
5125934,2,135000,0,0,27,5.0,1,1,0,0,5.0,4,1,0,0,0,0,0,0,1,0,0,0
5126278,0,162000,1,5,58,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,0,1,0,0
5135344,0,112500,3,5,55,2.0,1,0,0,0,14.0,2,1,1,1,0,0,0,0,1,0,0,0
5135345,0,112500,3,5,55,2.0,1,0,0,0,14.0,2,1,1,1,0,0,0,0,1,0,0,0
5135346,0,112500,3,5,55,2.0,1,0,0,0,14.0,2,1,1,1,0,0,0,0,1,0,0,0
5135485,0,135000,3,2,29,5.0,1,0,0,0,2.0,1,1,0,0,0,1,0,0,1,0,1,0
5135487,0,135000,3,2,29,5.0,1,0,0,0,2.0,1,1,0,0,0,1,0,0,1,0,1,0
5135636,0,195750,1,5,52,3.0,1,1,1,0,4.0,2,1,1,1,0,0,0,1,1,0,0,1
5135990,1,585000,3,5,29,2.0,1,0,0,0,8.0,2,1,0,0,0,1,0,0,1,0,0,0
5135991,1,585000,3,5,29,2.0,1,0,0,0,8.0,2,1,0,0,0,1,0,0,1,0,0,0
5142183,2,202500,3,5,49,12.0,1,1,1,0,8.0,4,1,1,1,0,0,0,1,1,0,0,0
5142184,2,450000,3,5,49,12.0,1,1,1,0,8.0,4,1,1,1,0,0,0,1,1,0,0,0
5142185,2,450000,3,5,49,12.0,1,1,1,0,8.0,4,1,1,1,0,0,0,1,1,0,0,0
5142361,1,112500,1,5,44,3.0,1,1,1,0,10.0,3,1,1,1,0,0,0,1,1,0,0,1
5142362,1,112500,1,5,44,3.0,1,1,1,0,10.0,3,1,1,1,0,0,0,1,1,0,0,1
5142456,0,67500,3,5,52,1.0,1,0,1,0,2.0,1,1,0,0,1,0,0,0,0,0,0,0
5142458,0,67500,3,5,52,1.0,1,0,1,0,2.0,1,1,0,0,1,0,0,0,1,0,0,0
5142459,0,67500,3,5,52,1.0,1,0,1,0,2.0,1,1,0,0,1,0,0,0,1,0,0,0
5143342,1,216000,1,2,35,7.0,1,0,0,1,4.0,3,1,1,1,0,0,0,0,0,0,0,1
5145690,0,306000,3,5,59,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5145817,0,90000,1,5,60,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5146005,0,225000,1,5,28,1.0,1,0,0,1,8.0,1,1,1,0,0,1,0,1,1,0,0,1
5146079,1,108000,1,5,35,3.0,1,1,1,0,5.0,3,1,0,1,0,0,0,0,1,0,0,1
5146167,0,135000,1,5,56,5.0,1,0,0,0,14.0,2,1,0,1,0,0,0,0,1,0,0,1
5146444,0,135000,1,5,39,3.0,1,0,1,0,8.0,1,1,0,0,0,0,1,0,1,0,0,1
5148932,0,108000,1,4,47,3.0,1,0,0,0,14.0,2,1,1,1,0,0,0,1,0,0,0,1
5148934,0,108000,1,4,47,3.0,1,0,0,0,14.0,2,1,1,1,0,0,0,1,0,0,0,1
5149188,1,450000,3,5,27,1.0,1,0,1,1,2.0,3,1,1,1,0,0,0,1,0,0,0,1
5149190,1,450000,3,5,27,1.0,1,0,1,1,2.0,3,1,1,1,0,0,0,1,0,0,0,1
5149192,1,450000,3,5,27,1.0,1,0,1,1,2.0,3,1,0,1,0,0,0,1,0,0,0,1
5149828,0,315000,1,5,48,7.0,1,0,0,0,8.0,2,1,1,1,0,0,0,1,1,0,0,1
5149834,0,157500,3,5,34,4.0,1,0,1,1,15.0,2,1,0,1,0,0,0,0,1,0,0,0
5149838,0,157500,3,5,34,4.0,1,0,1,1,15.0,2,1,0,1,0,0,0,0,1,1,0,0
5118538,1,81000,1,2,43,17.0,1,1,1,0,9.0,3,0,0,1,0,0,0,0,1,0,0,1
5069057,0,225000,1,5,49,7.0,1,0,0,0,4.0,2,0,1,1,0,0,0,1,0,0,0,0
5066689,0,180000,3,5,35,1.0,1,0,1,1,5.0,2,0,0,0,0,0,0,0,1,0,0,0
5086062,0,135000,1,5,56,26.0,1,0,1,0,2.0,2,0,0,1,0,0,0,0,1,0,1,0
5113717,1,135000,1,5,45,8.0,1,0,0,1,16.0,3,0,0,1,0,0,0,0,0,0,0,1
5066765,1,63000,1,5,40,8.0,1,0,0,0,5.0,3,0,0,1,0,0,0,0,1,0,0,0
5105227,0,135000,1,5,48,6.0,1,0,0,0,4.0,2,0,0,1,0,0,0,0,1,0,0,1
5054648,0,112500,1,5,66,38.0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,0
5067187,0,112500,3,5,31,2.0,1,1,0,0,2.0,2,0,0,1,0,0,0,0,1,0,0,1
5105818,0,45000,1,5,60,38.0,1,0,1,0,0.0,2,0,0,1,0,0,0,0,1,1,0,0
5033574,1,117450,1,5,39,0.0,1,1,1,0,3.0,3,0,0,1,0,0,0,1,1,0,0,1
5125478,0,202500,1,5,57,38.0,1,0,0,0,0.0,2,0,0,1,0,0,0,0,1,1,0,0
5046340,1,180000,0,5,29,5.0,1,1,0,0,1.0,3,0,1,1,0,0,0,0,1,0,0,1
5054058,1,450000,3,5,41,13.0,1,0,1,0,8.0,3,0,0,1,0,0,0,1,0,0,0,1
5022326,0,256500,3,5,59,5.0,1,0,0,1,2.0,2,0,1,1,0,0,0,1,1,0,0,0
5065764,0,90000,1,5,40,2.0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,0,1
5067849,0,180000,1,5,40,2.0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0,0,0
5097169,0,90000,1,5,29,2.0,1,0,0,0,5.0,1,0,0,0,0,1,0,0,0,0,0,0
5048583,0,135000,1,5,59,38.0,1,0,0,0,0.0,2,0,0,1,0,0,0,0,1,1,0,0
5115566,0,126000,1,1,45,38.0,1,0,0,0,0.0,2,0,1,1,0,0,0,0,1,1,0,0
5052722,0,126000,1,5,60,38.0,1,0,0,0,0.0,2,0,0,1,0,0,0,0,0,1,0,0
5067723,1,337500,4,5,34,8.0,1,0,0,0,1.0,2,0,0,0,0,1,0,0,1,0,0,1
5056077,0,90000,1,5,33,4.0,1,0,0,0,2.0,2,0,1,1,0,0,0,1,1,0,0,1
5022275,0,131400,1,5,65,38.0,1,0,0,0,0.0,2,0,1,1,0,0,0,1,1,1,0,0
5143016,0,180000,1,1,40,9.0,1,0,0,0,4.0,2,0,1,0,0,0,0,0,0,0,0,0
5066709,0,247500,1,5,67,38.0,1,0,0,0,0.0,1,0,0,0,0,0,1,0,1,1,0,0
5021445,0,121500,1,0,36,14.0,1,1,1,0,2.0,2,0,0,1,0,0,0,0,1,0,0,1
5053592,1,117000,0,5,48,8.0,1,0,1,0,1.0,2,0,0,0,0,0,1,0,1,0,0,1
5116163,2,90000,1,5,27,1.0,1,0,0,0,14.0,4,0,0,1,0,0,0,0,1,0,0,1
5041273,0,445500,3,5,53,7.0,1,0,0,0,1.0,1,0,1,0,1,0,0,0,1,0,0,0
5066627,0,157500,1,5,44,2.0,1,0,0,0,1.0,2,0,1,1,0,0,0,1,1,0,0,1
5125399,0,112500,1,5,28,2.0,1,0,0,0,4.0,2,0,1,1,0,0,0,1,0,0,0,1
5067345,0,180000,1,5,45,3.0,1,0,1,0,1.0,2,0,0,1,0,0,0,1,0,0,0,0
5053711,2,157500,2,5,35,4.0,1,0,0,1,1.0,4,0,0,1,0,0,0,1,0,0,0,0
5096234,0,117000,1,5,47,20.0,1,1,1,0,15.0,2,0,0,1,0,0,0,0,0,0,0,1
5125158,1,234000,1,5,33,5.0,1,0,0,0,4.0,3,0,1,1,0,0,0,0,1,0,0,1
5143231,1,1575000,3,5,28,7.0,1,0,0,0,8.0,2,0,0,0,0,1,0,1,1,0,0,0
5062688,0,247500,1,2,55,2.0,1,1,0,1,7.0,2,0,1,1,0,0,0,1,1,0,1,0
5105685,2,144000,1,5,39,8.0,1,1,1,0,16.0,4,0,0,1,0,0,0,0,1,0,0,1
5115984,2,180000,3,5,36,7.0,1,0,0,0,8.0,4,0,1,1,0,0,0,1,1,0,0,1
5085769,0,266700,1,5,53,4.0,1,0,0,0,9.0,2,0,0,1,0,0,0,0,1,0,0,0
5065363,1,216000,3,5,29,5.0,1,0,1,0,2.0,2,0,0,0,0,1,0,0,1,0,0,1
5140074,0,90000,1,5,41,1.0,1,0,0,0,2.0,2,0,0,1,0,0,0,0,1,0,0,0
5067643,0,171000,3,5,55,38.0,1,0,0,0,0.0,2,0,0,1,0,0,0,0,1,1,0,0
5091963,0,180000,1,2,52,4.0,1,1,0,0,10.0,2,0,1,1,0,0,0,1,0,0,0,1
5053637,0,225000,3,5,60,38.0,1,0,0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0
5067149,2,225000,2,5,38,1.0,1,0,0,0,1.0,4,0,1,1,0,0,0,0,0,0,0,1
5096424,0,270000,3,5,32,6.0,1,0,1,0,1.0,1,0,1,0,1,0,0,1,0,0,0,0
5046283,0,67050,3,5,67,38.0,1,0,0,0,0.0,2,0,0,1,0,0,0,0,1,1,0,0
5029348,0,270000,3,5,30,1.0,1,0,0,0,10.0,2,0,1,1,0,0,0,1,1,0,0,1
5096061,2,73350,1,5,39,19.0,1,0,0,0,15.0,4,0,0,1,0,0,0,0,0,0,0,1
5028917,0,112500,1,5,47,5.0,1,0,0,0,5.0,2,0,0,1,0,0,0,1,1,0,0,1
5117778,0,144000,1,5,39,4.0,1,0,0,0,17.0,1,0,0,0,0,0,1,1,0,0,0,1
5095310,0,225000,3,5,34,10.0,1,0,0,0,2.0,2,0,0,1,0,0,0,1,1,0,0,1
5050655,0,112500,1,5,40,3.0,1,1,1,0,6.0,2,0,0,1,0,0,0,0,0,0,0,1
5033817,1,292500,3,5,44,7.0,1,0,1,0,2.0,3,0,0,1,0,0,0,1,0,0,1,0
5052963,0,135000,1,5,27,7.0,1,0,0,0,4.0,2,0,1,1,0,0,0,1,1,0,0,0
5113159,0,157500,1,2,27,6.0,1,1,0,0,4.0,1,0,1,0,0,1,0,1,1,0,0,0
5143235,1,1575000,3,5,28,7.0,1,0,0,0,8.0,2,0,0,0,0,1,0,1,1,0,0,0
5132800,0,157500,1,5,51,4.0,1,0,0,0,5.0,1,0,0,0,1,0,0,0,1,0,0,1
5090549,0,157500,1,5,42,7.0,1,0,0,0,1.0,2,0,0,1,0,0,0,0,1,0,0,1
5054522,1,135000,3,5,27,6.0,1,0,0,0,1.0,3,0,0,1,0,0,0,1,1,0,0,1
5051061,2,112500,1,5,33,4.0,1,0,1,0,1.0,4,0,0,1,0,0,0,0,0,0,0,0
5010707,0,202500,1,5,43,14.0,1,0,1,0,10.0,2,0,1,1,0,0,0,1,0,0,0,1
5028984,0,193500,1,5,52,6.0,1,1,1,1,4.0,1,0,0,0,1,0,0,0,1,0,0,1
5028615,0,225000,3,0,29,6.0,1,0,1,0,5.0,1,0,0,0,0,1,0,1,1,0,0,0
5126034,0,108000,1,5,47,3.0,1,0,0,1,9.0,1,0,0,0,1,0,0,1,1,0,0,1
5090470,1,900000,1,5,42,12.0,1,0,0,0,4.0,3,0,1,1,0,0,0,0,1,0,0,1
5021775,0,292500,3,5,40,4.0,1,0,0,0,4.0,2,0,0,0,0,0,0,0,1,0,0,0
5046415,0,270000,3,5,40,4.0,1,0,1,0,1.0,2,0,1,1,0,0,0,1,1,0,0,1
5065606,0,270000,3,5,64,38.0,1,0,0,0,0.0,2,0,1,1,0,0,0,1,0,1,0,0
5117314,1,292500,1,5,46,5.0,1,0,0,0,4.0,3,0,1,1,0,0,0,0,1,0,0,1
